seed,vectorizer,model,params,accuracy,training_time,prediction_time,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
5522499,CountVectorizer,GradientBoosting,"{'n_estimators': 200, 'max_depth': 3}",0.717,4.131958000012673,0.014391899923793972,0.6991758241758241,0.8883071553228621,0.7824750192159877,0.7647058823529411,0.48711943793911006,0.5951359084406295
5522499,CountVectorizer,GradientBoosting,"{'n_estimators': 200, 'max_depth': 5}",0.709,7.138600299949758,0.014468400040641427,0.6991525423728814,0.8638743455497382,0.7728337236533958,0.7328767123287672,0.5011709601873536,0.5952712100139083
5522499,CountVectorizer,GradientBoosting,"{'n_estimators': 200, 'max_depth': 7}",0.721,10.46101389999967,0.018068499979563057,0.7118155619596542,0.8621291448516579,0.7797947908445146,0.7418300653594772,0.531615925058548,0.6193724420190996
5522499,CountVectorizer,AdaBoost,{'n_estimators': 50},0.719,0.6203091000206769,0.022111799917183816,0.7115942028985507,0.8568935427574171,0.777513855898654,0.7354838709677419,0.5339578454332553,0.6187245590230664
5522499,CountVectorizer,AdaBoost,{'n_estimators': 100},0.718,1.179895699955523,0.03166209999471903,0.7221374045801526,0.8254799301919721,0.7703583061889251,0.7101449275362319,0.5737704918032787,0.6347150259067358
5522499,CountVectorizer,AdaBoost,{'n_estimators': 150},0.709,1.6261185000184923,0.03803890000563115,0.719626168224299,0.806282722513089,0.7604938271604939,0.6899441340782123,0.5784543325526932,0.6292993630573248
5522499,CountVectorizer,SGD,{'alpha': 0.0001},0.678,0.10829959996044636,0.012367599993012846,0.7345794392523365,0.6858638743455497,0.7093862815884476,0.6129032258064516,0.667447306791569,0.6390134529147982
5522499,CountVectorizer,SGD,{'alpha': 0.001},0.723,0.0974487999919802,0.012150000082328916,0.7262996941896025,0.8289703315881326,0.7742461287693562,0.7167630057803468,0.5807962529274004,0.6416558861578266
4674627,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'max_depth': 10}",0.611,0.3462510999524966,0.018827399937435985,0.5962343096234309,0.9947643979057592,0.7455853499018966,0.9318181818181818,0.09601873536299765,0.1740976645435244
4674627,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'max_depth': 20}",0.662,0.694974199985154,0.021566499955952168,0.6377491207502931,0.9493891797556719,0.7629733520336606,0.8027210884353742,0.27634660421545665,0.41114982578397213
