seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_democratic,recall_class_democratic,f1_class_democratic,precision_class_republican,recall_class_republican,f1_class_republican
2,CountVectorizer,SVC,"{'C': 0.1, 'kernel': 'sigmoid'}",0.95325,130.953500200063,4.7791815001983196,1141.33984375,914.96875,0.964633521271143,0.941,0.9526702100733991,0.9424109321620303,0.9655,0.9538157569770314
2,CountVectorizer,SVC,"{'C': 1, 'kernel': 'linear'}",0.95575,124.45847050007433,1.5190318999812007,1245.828125,909.76953125,0.9691199176531138,0.9415,0.9551103220897793,0.9431210500729217,0.97,0.9563717032289869
2,CountVectorizer,SVC,"{'C': 1, 'kernel': 'rbf'}",0.955,343.0564107999671,6.443965299986303,1203.265625,916.82421875,0.9582074521651561,0.9515,0.9548419468138485,0.951837140019861,0.9585,0.9551569506726457
2,CountVectorizer,SVC,"{'C': 1, 'kernel': 'sigmoid'}",0.953,113.63045649998821,2.267914099851623,1154.00390625,910.36328125,0.9598984771573604,0.9455,0.9526448362720403,0.9463054187192118,0.9605,0.9533498759305211
2,CountVectorizer,SVC,"{'C': 10, 'kernel': 'linear'}",0.9525,116.35895749996416,1.236460099928081,1253.94921875,909.8125,0.9708636836628513,0.933,0.9515553289138194,0.9355149181905679,0.972,0.9534085335948994
2,CountVectorizer,SVC,"{'C': 10, 'kernel': 'rbf'}",0.954,389.35081110009924,6.105966399889439,1155.140625,916.26953125,0.9544544544544544,0.9535,0.9539769884942472,0.9535464535464535,0.9545,0.9540229885057471
2,CountVectorizer,SVC,"{'C': 10, 'kernel': 'sigmoid'}",0.94,87.18496280000545,1.4200476000551134,1155.15625,910.98046875,0.9444444444444444,0.935,0.9396984924623115,0.9356435643564357,0.945,0.9402985074626866
2,CountVectorizer,MultinomialNB,{'alpha': 0.01},0.92375,0.96373389987275,1.4354518000036478,909.203125,875.734375,0.9181055747409965,0.9305,0.924261236652595,0.9295489102889002,0.917,0.9232318147495595
2,CountVectorizer,MultinomialNB,{'alpha': 0.1},0.9505,0.9590496998280287,1.8983556998427957,907.36328125,874.6015625,0.955050505050505,0.9455,0.950251256281407,0.946039603960396,0.9555,0.9507462686567164
2,CountVectorizer,MultinomialNB,{'alpha': 1.0},0.9615,0.9581450999248773,1.4193122999276966,906.55859375,874.3203125,0.9728483606557377,0.9495,0.9610323886639676,0.95068359375,0.9735,0.9619565217391305
2,CountVectorizer,LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.9565,1.0420982998330146,1.4252136999275535,914.015625,873.3984375,0.9672466734902764,0.945,0.9559939301972686,0.946236559139785,0.968,0.9569945625308948
2,CountVectorizer,LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.96025,1.06838500010781,1.8748626001179218,913.43359375,873.2578125,0.9727786337955829,0.947,0.9597162401824171,0.948368241597662,0.9735,0.9607698001480385
2,CountVectorizer,LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0.9595,1.092604500008747,1.420784000074491,913.3515625,873.06640625,0.9737113402061855,0.9445,0.9588832487309644,0.9461165048543689,0.9745,0.9600985221674877
2,CountVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'ball_tree'}",0.8295,0.9019053000956774,4.472034800099209,905.83203125,2835.23046875,0.9113607990012484,0.73,0.8106607440310938,0.7748123436196831,0.929,0.8449295134151887
2,CountVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'kd_tree'}",0.8295,0.9157714999746531,4.482564200181514,905.2890625,2925.078125,0.9113607990012484,0.73,0.8106607440310938,0.7748123436196831,0.929,0.8449295134151887
